Time [d]	Q_out [m3/s]
0	2
503	-5.7071763	-5.7071763
504	-5.4907406	-5.4907406
505	-6.1666668	-6.1666668
506	-7.508103	-7.508103
507	-7.4780098	-7.4780098
508	-5.7951381	-5.7951381
509	-4.5104169	-4.5104169
510	-3.690972	-3.690972
511	-4.3518519	-4.3518519
512	-4.7604164	-4.7604164
513	-4.7488422	-4.7488422
514	-7.1099529	-7.1099529
515	-6.8796304	-6.8796304
516	-8.3981478	-8.3981478
517	-10.254628	-10.254628
518	-11.385417	-11.385417
519	-12.96412	-12.96412
520	-13.64352	-13.64352
521	-13.982641	-13.982641
522	-12.17824	-12.17824
523	-13.767362	-13.767362
524	-15.138888	-15.138888
525	-15.365741	-15.365741
526	-16.938657	-16.938657
527	-19.751157	-19.751157
528	-19.615742	-19.615742
529	-20.53125	-20.53125
530	-19.010417	-19.010417
531	-19.171297	-19.171297
532	-19.378473	-19.378473
533	-19.010416	-19.010416
534	-20.74074	-20.74074
535	-19.839121	-19.839121
536	-18.766203	-18.766203
537	-19.351853	-19.351853
538	-19.184027	-19.184027
539	-20.04977	-20.04977
540	-16.678242	-16.678242
541	-16.994213	-16.994213
542	-18.814815	-18.814815
543	-19.123842	-19.123842
544	-21.229167	-21.229167
545	-17.997686	-17.997686
546	-20.425927	-20.425927
547	-24.857639	-24.857639
548	-25.606481	-25.606481
549	-26.518518	-26.518518
550	-24.785879	-24.785879
551	-25.762732	-25.762732
552	-24.460648	-24.460648
553	-23.945602	-23.945602
554	-24.233796	-24.233796
555	-21.868057	-21.868057
556	-22.826389	-22.826389
557	-25.850694	-25.850694
558	-23.398147	-23.398147
559	-24.776622	-24.776622
560	-25.844906	-25.844906
561	-25.611111	-25.611111
562	-24.769676	-24.769676
563	-26.039352	-26.039352
564	-24.717593	-24.717593
565	-24.596064	-24.596064
566	-24.793981	-24.793981
567	-26.431713	-26.431713
568	-21.030092	-21.030092
569	-23.833333	-23.833333
570	-23.585648	-23.585648
571	-25.269675	-25.269675
572	-26.618057	-26.618057
573	-26.71412	-26.71412
574	-25.292824	-25.292824
575	-24.505788	-24.505788
576	-24.535881	-24.535881
577	-24.872685	-24.872685
578	-25.591436	-25.591436
579	-24.376158	-24.376158
580	-26.829861	-26.829861
581	-26.185186	-26.185186
582	-26.609953	-26.609953
583	-25.543982	-25.543982
584	-25.442129	-25.442129
585	-23.872685	-23.872685
586	-24.869212	-24.869212
587	-25.018519	-25.018519
588	-26.402777	-26.402777
589	-26.039351	-26.039351
590	-25.836805	-25.836805
591	-24.840276	-24.840276
592	-26.604165	-26.604165
593	-18.793983	-18.793983
594	-19.663194	-19.663194
595	-24.318286	-24.318286
596	-24.660879	-24.660879
597	-24.77662	-24.77662
598	-25.332177	-25.332177
599	-22.871528	-22.871528
600	-20.344907	-20.344907
601	-20.239584	-20.239584
602	-21.648148	-21.648148
603	-22.674769	-22.674769
604	-20.033565	-20.033565
605	-20.979167	-20.979167
606	-17.373842	-17.373842
607	-14.704861	-14.704861
608	-13.699074	-13.699074
609	-15.733797	-15.733797
610	-14.6875	-14.6875
611	-17.399305	-17.399305
612	-19.365741	-19.365741
613	-20.172454	-20.172454
614	-20.439814	-20.439814
615	-19.012731	-19.012731
616	-12.986111	-12.986111
617	-10.937501	-10.937501
618	-11.231482	-11.231482
619	-11.584491	-11.584491
620	-11.947916	-11.947916
621	-11.677083	-11.677083
622	-9.5601849	-9.5601849
623	-7.8124994	-7.8124994
624	-8.800926	-8.800926
625	-7.6550928	-7.6550928
626	-4.8599539	-4.8599539
627	-3.4756944	-3.4756944
628	-3.5717592	-3.5717592
629	-3.5474537	-3.5474537
630	-3.1365741	-3.1365741
631	-3.4039357	-3.4039357
632	-2.5497685	-2.5497685
633	-2.4953704	-2.4953704
634	-2.1527777	-2.1527777
