datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
143	-0.46618608	-1.4266776	4.5621143	243.75873	6.7353947	262.08099	0
144	-0.77186425	-1.2770038	5.5841405	241.43501	7.3961174	255.43654	0
145	-0.8722455	1.2294581	7.0768878	244.18636	7.9479756	255.14445	0
146	-1.2944509	2.0662905	8.2173232	240.63057	8.3211802	252.98534	0
147	-1.4380459	1.5358259	8.130548	278.23552	8.1217204	239.27988	0
148	-1.2964754	0.91436394	7.7557037	206.62647	8.5598895	285.20645	0.00014314917
149	-0.69145094	2.0300332	6.8737773	108.01844	8.8065096	302.48219	0.00022286003
150	0.70702886	0.97260052	5.9536128	111.93663	8.3390591	297.86505	0.00021995529
151	-0.69593741	0.081741037	5.1015572	111.82556	8.0103696	314.98227	0.00048265871
152	1.4636802	-2.9713983	7.075669	132.97063	9.0067436	332.94161	0.00069019394
153	1.4739505	-3.1526651	8.0764187	125.86811	9.5500611	342.85979	0.00053143239
154	-0.40322766	-1.5889553	6.6829734	138.56263	9.0426932	321.75669	0.00045934764
155	0.58476047	0.042783089	7.5838859	176.287	9.1898584	306.9344	0.00040624812
156	0.35191258	-0.9882518	8.1261176	193.50851	9.3035536	286.08126	0
157	-0.43169607	2.0960645	7.8550621	135.02499	9.2527247	318.5773	0.0003593044
158	1.1402274	-0.19113854	9.01864	185.49894	9.9044649	299.67291	0.00037724734
159	1.5341464	-1.8577326	8.4390443	220.81762	9.3733318	283.4484	0
160	1.1602274	1.282095	8.5242577	161.67308	9.1603892	281.67871	0.00016353808
161	1.0741785	1.6432389	10.979474	289.13405	9.6428658	262.58462	0
162	-0.44849044	2.5413521	11.540126	189.94038	10.004554	327.88923	0
163	-0.99789931	0.35502	11.387607	190.09115	10.92318	327.2869	5.5719591e-05
164	-0.76336104	-0.71348158	10.092268	109.2464	10.60228	356.70442	6.8246648e-05
165	-1.2149439	-0.99296285	12.079066	146.15219	10.884831	352.67152	0.00014316398
166	-1.4483387	0.82247698	11.665614	143.14399	11.860213	336.92803	0.00048333117
167	-1.2262261	-0.52585416	10.81342	131.627	11.558095	340.62223	0.0004636813
168	-0.4570998	-0.97980545	11.086472	143.25517	11.517215	342.29961	0.00042807339
169	0.16197671	-2.1125879	10.79604	205.73269	10.537246	327.63589	0.00039015505
170	-1.0973459	-1.9834054	8.6420177	87.545819	10.917839	358.5659	0.0010962214
171	-1.3320075	-1.0910252	9.634686	126.83525	11.553021	337.50336	0.00037006413
172	-1.0950495	-0.065917081	11.627232	254.56219	11.726357	300.46427	0
173	-1.0364003	-0.22003635	12.272553	244.60659	12.400978	317.61039	0.00012986609
174	-1.1965042	-0.41602666	12.77486	248.6403	11.959826	307.44072	0.00010365695
175	-1.0177323	2.8985969	12.412221	185.96327	12.235809	308.84865	0.00021952521
176	-0.25083437	-0.62035957	10.475166	198.19174	11.036908	321.59666	0.00023234376
177	1.1619763	0.27603423	11.628365	246.13207	10.536676	281.78938	0
178	-0.64428901	0.25491814	11.869903	284.696	10.336805	273.52888	0
179	-0.68205642	0.12371903	12.236458	258.07964	11.411729	288.76695	0
180	-0.15908117	-0.61355018	12.293664	278.90326	11.000437	275.76143	0
181	-0.70612822	-1.658736	11.721888	244.29914	11.181406	288.89458	6.2548843e-05
182	-0.65018734	-1.7861638	11.953422	268.0382	11.083923	288.58795	0
183	-1.1497946	-1.5517273	12.001714	248.6376	10.628698	293.64651	0
184	-1.7453664	-0.99485641	12.437942	179.01432	11.620599	351.02437	0.00040781249
185	-0.17063728	-0.29532577	12.260796	228.22061	12.119675	308.88572	6.9726787e-05
186	-0.0059321077	0.041902086	12.311597	257.93126	11.342821	285.87288	0
187	0.97883031	-0.18284886	12.804242	282.93754	10.685417	265.79801	0
188	0.089601534	-1.4364177	12.209107	275.04283	10.946352	272.45648	0
189	-0.6195665	-1.346529	12.516847	273.60903	10.797462	274.02806	0
190	-1.1898274	-1.0729094	13.24439	266.6858	10.662387	285.47045	0
191	-1.533258	-0.94920699	14.484204	207.46554	12.236902	356.07114	9.0114231e-05
192	-1.5573814	-1.237935	14.433629	197.05602	12.888714	357.29625	0.00013063293
193	-1.085467	-1.1071036	13.078044	158.39366	13.185361	351.03026	0.00041026682
194	-1.1978226	-1.4504289	12.824544	226.15399	11.663298	313.45857	0
195	-1.1786957	-0.38754863	13.682491	258.65711	11.777226	294.54328	0
196	-0.9739152	0.93338996	13.365565	172.03407	12.983573	330.17685	0.00019137979
197	0.52468652	-0.85072757	14.532943	264.58836	12.835642	305.16822	0
198	-0.65463602	-1.1542922	15.128593	264.43047	12.402609	307.78996	0
199	-1.0388943	-1.0785005	15.83211	246.28323	12.022617	336.96211	0
200	-1.4175486	-0.16608811	17.446288	239.75808	12.719645	353.22413	0
201	-1.3678527	0.43885684	17.588437	230.44679	13.644585	353.44022	4.1694645e-05
202	-1.6718693	-0.047131995	16.886475	221.71306	14.37248	346.14112	0.00017211823
203	-1.8637011	1.1608291	17.042134	227.55535	13.941062	345.63947	7.3026543e-05
204	-1.6748567	2.9283747	16.789384	224.51058	13.312184	345.55286	6.118509e-05
205	-0.97214151	-0.79776769	15.628247	219.9534	14.118581	327.92534	0.00010010193
206	-1.129644	0.97392023	15.839113	219.48551	13.539892	334.06042	0.00013134186
207	-0.97957544	2.2842023	16.336066	249.76169	13.355662	306.44295	0
208	-0.38039354	0.012421344	15.085589	229.88491	13.198986	319.61277	7.5376635e-05
209	0.27715316	0.079977345	15.170221	138.00877	13.338427	359.79717	0.00023120584
210	1.1901264	1.7148708	15.848688	147.74276	12.804698	353.48273	0.00011011057
211	0.38893364	-0.81869648	14.733778	208.27547	12.472846	332.01859	0
212	0.14386713	0.24508926	14.191366	207.79883	11.883408	311.01427	0
213	-0.2057483	0.35478582	14.649009	246.1507	11.82854	298.18795	0
214	1.054699	1.3848858	15.291659	254.37304	11.543217	290.61324	0
215	-0.35461643	0.026315484	15.189258	254.2402	11.987608	294.36118	0
216	-0.97433506	-0.30124321	16.315536	246.25966	14.282044	322.04503	0
217	-1.2186766	-1.5537913	15.665653	218.74934	13.930642	341.01237	0.00014176199
218	-1.1979928	-1.8901925	15.255137	238.49925	12.391029	320.57927	0
219	-1.0177555	-1.5522523	13.937054	249.91588	11.225293	282.29887	0
220	-1.1101633	-0.81083444	14.201075	242.12469	11.463629	302.19245	0
221	-1.4919474	0.4344186	15.3606	234.58073	12.101095	312.28411	0
222	-1.6233003	1.9342579	16.033592	229.37604	12.635087	319.47205	0
223	-1.6504936	2.8904004	16.220732	172.5676	13.342962	353.22496	0.00019768893
224	-1.8026898	2.9754779	16.315511	180.89566	13.429696	355.62682	0.0001305072
225	-1.7581424	2.5759853	16.02666	138.55688	10.953223	338.71836	0
226	-1.5111969	2.9807708	15.859066	247.3733	10.351236	269.4657	0
227	-1.5157757	2.5111783	15.760305	235.89705	11.657152	323.43365	7.597163e-05
228	-1.4529102	2.2379788	15.718435	229.47937	11.808384	317.8891	0
229	-1.1876736	1.3719564	15.209196	151.7784	10.797078	346.76878	0
230	-1.0449137	-0.48234192	15.236188	218.78181	10.751767	305.70776	0
231	-1.0492482	-1.500785	14.560275	214.31373	10.824512	303.91152	0
232	-1.1443507	-1.1266004	13.854351	212.41109	11.046912	294.29311	0
233	-1.2026831	-0.23233077	13.046622	175.09533	11.445696	303.13119	0.00010314304
234	-1.3541806	1.729189	14.109926	187.90396	11.926103	304.67358	5.2661099e-05
235	-1.1073696	1.424711	14.655399	177.89078	12.779768	324.66156	0.00011987287
236	-1.145223	-0.010326599	14.561583	158.49008	12.754704	340.12486	0.00015398335
237	-1.1984246	0.51936239	15.023889	142.58093	12.995132	340.13485	0.00012735468
238	-1.2234765	1.9030944	16.384187	208.63899	12.88043	315.9056	0
239	0.48823356	0.88521643	16.871688	225.48648	11.024464	303.13095	0
240	1.3323613	-0.64844002	15.646222	230.22082	10.446706	285.57723	0
241	0.36638435	-1.5017774	14.170825	200.71632	10.791002	307.53482	0
242	-0.51140566	-1.7286235	12.434299	226.50524	9.9893065	260.94751	0
243	-1.3055751	-0.61148682	12.232435	180.49309	11.640948	296.52255	6.9099589e-05
244	-1.2956328	-1.5952408	12.106779	226.08851	9.7014391	254.30771	0
245	-1.5729039	2.0692486	13.005706	171.22066	10.887498	298.88282	7.3295877e-05
246	-0.71756872	2.7286292	14.269597	158.34914	11.641414	306.09135	4.7415173e-05
247	1.0462745	1.1758141	15.191145	217.04199	10.749727	308.02697	0
248	-0.53217662	-0.061882922	13.782121	93.97516	12.173042	341.39103	0.00029735379
249	-0.69309076	0.37309588	12.280443	122.88526	12.162768	316.46488	0.00022792911
