par_id,rmse,nse,r,bias,mae,nmae
p04129,4.48136700803489,0.100496554957888,0.794523178710891,3.31523744680851,3.43460255319149,0.598539741712786
p04130,4.26172243024074,0.186510172518455,0.824360929466061,3.26239673758865,3.39563872340426,0.605869474716279
p04131,4.78306519979049,-0.0246945062574717,0.769691692869357,3.53225985815603,3.65896255319149,0.634287025075773
p04132,4.34236264324499,0.155433238334339,0.807414992821228,3.21765744680851,3.32360978723404,0.579219155283547
p04133,2.18688873572927,0.785792249177736,0.924278919030535,1.13595304964539,1.71129687943262,0.2645366202537
p04134,2.97758855205573,0.602889675897437,0.919430395902339,2.31870411347518,2.4424190070922,0.428323083937499
p04135,4.54465044259498,0.074912580300931,0.795979891071194,3.40922326241135,3.5163304964539,0.612724878382317
p04136,2.8583148862625,0.634066686487979,0.908859828144337,2.05668524822695,2.33334936170213,0.40991848475908
p04137,3.57743282784047,0.426775450380487,0.888020041649093,2.82370680851064,2.91344609929078,0.51281911869432
p04138,4.36520362887595,0.146524967032803,0.808056457276412,3.25724156028369,3.35684638297872,0.586305753658477
p04139,3.64941288740691,0.403476154811405,0.874263621084919,2.80972439716312,2.91579361702128,0.512100418443387
p04140,2.46679261292706,0.727449436452472,0.929963413860266,1.72605460992908,1.97468780141844,0.333380630396091
p04141,2.16397100717262,0.790258349356453,0.920134141405041,0.871658865248227,1.6758580141844,0.238411656225273
p04142,2.54039281213479,0.710942956448373,0.925986654454611,1.78786510638298,2.00260070921986,0.339775382605828
p04143,2.49477626919965,0.72123065508486,0.892299627431527,0.38837390070922,1.7555514893617,0.213015977320781
p04144,3.21737154549557,0.536356432235435,0.898775973676947,2.44495489361702,2.59764652482269,0.451721982962673
p04145,2.40351019593138,0.741253941128545,0.931020377367876,1.63885560283688,1.91971489361702,0.319198134833021
p04146,3.4600008241679,0.463790862612212,0.88193318101558,2.62717460992908,2.75718680851064,0.48614719228965
p04147,2.22581364281957,0.778098925099215,0.915671168208271,0.800889929078014,1.70383432624113,0.23413453235656
p04148,2.26028190142119,0.771173129542313,0.927395921629394,1.33713517730496,1.8164809929078,0.29198539797286
p04149,3.57966994247291,0.426058304847261,0.872224877081512,2.71057304964539,2.83477929078014,0.502179198844803
p04150,3.54982512939752,0.435588667836702,0.87952833443637,2.72075645390071,2.84101319148936,0.496376431680315
p04151,2.20553554544305,0.782123731395634,0.918650953674827,0.90233134751773,1.7511285106383,0.248375524686931
p04152,4.36108894188154,0.148133197848573,0.81928559849022,3.33189191489362,3.41443489361702,0.597305464797057
p04153,3.10649630305899,0.56776145945595,0.917638316075952,2.46927631205674,2.58522638297872,0.456686027848574
p04154,2.27775159459642,0.7676222594789,0.912387049265068,0.792239574468085,1.73773687943262,0.238232424831114
p04155,3.24329085365969,0.528856069649387,0.904961940311371,2.52951021276596,2.64235872340426,0.460460291589661
p04156,2.20282574644736,0.782658783484326,0.917487741972189,0.868079574468085,1.73099219858156,0.245594126293266
p04157,2.1785179348837,0.787428965913407,0.920729397224382,0.971228510638298,1.68620638297872,0.244863837528725
p04158,2.27945864130901,0.767273820866434,0.92403798048308,1.25406567375887,1.81999446808511,0.278677894176643
p04159,3.20237496487256,0.540668563101201,0.902303872250364,2.45800567375887,2.61821758865248,0.458909877465383
