datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
248	0.96566227	0	14.00515	216.0197	13.435569	314.85624	8.6916619e-05
249	0.41410912	0	13.513589	180.43651	13.342404	311.57019	0.00025106104
250	1.0576393	0	11.270343	74.466067	12.342784	347.88738	0.00053748606
251	-0.2876855	0	12.404387	180.37366	12.385034	317.75111	0
252	-0.11507884	0	13.714254	212.87467	11.906351	305.51783	0
253	-0.61050388	0	15.002391	159.94156	13.653253	353.04598	9.5799075e-05
254	-1.1770645	0	15.035896	134.01724	14.526744	345.16913	0.00013712448
255	-0.48371339	0	14.511451	150.33661	14.781013	324.63613	0.00021402981
256	0.64940582	0	13.418106	208.01664	11.870743	283.45678	0
257	0.42017161	0	10.647392	205.67754	10.130784	262.81164	0
258	0.87751875	0	7.5327826	208.71252	7.8284474	236.89175	0
259	1.2101434	0	5.8986455	201.37871	7.7903268	250.02708	0.00016922001
260	0.54286402	0	4.6802258	187.79326	6.3189017	242.11172	0
261	-0.83004611	0	5.1679828	205.51893	6.6377308	227.07292	0
262	-1.1720405	0	6.1183616	178.81969	8.2268052	258.33399	0
263	-1.0778601	0	6.6102787	160.03278	8.673688	296.82363	4.3042107e-05
264	-1.2451965	0	8.2339181	156.41962	8.9012501	273.78445	0
265	-1.4669295	0	9.6361027	140.82715	10.074457	285.90482	5.6345634e-05
266	-1.1527726	0	9.4797665	137.30236	10.391084	308.09712	0.00014908279
267	-1.0478534	0	9.2084083	181.03159	9.3586806	259.25394	0
268	-1.3230689	0	10.393021	189.85924	9.6216121	251.79885	0
269	-0.86934711	0	10.363047	186.8514	10.051543	256.89712	0
270	-0.74770408	0	8.0565725	191.47475	8.0773122	238.25342	0
271	-0.78612756	0	7.2064326	190.17018	7.7231721	239.11489	0
272	-0.91378013	0	8.5173045	187.45584	8.7121662	249.15293	0
273	-0.86929011	0	10.138336	186.55939	9.0573293	249.86739	0
274	-0.44078545	0	10.129463	175.94307	8.38547	261.2886	0
275	-0.22258638	0	8.6858978	173.60502	8.5802521	258.04599	0
276	-0.43074787	0	7.2917489	178.42872	8.5217017	251.75672	0
277	-0.75287748	0	9.7124798	177.47785	9.5825032	258.50197	0
278	0.92853266	0	11.13835	178.84587	8.6098233	256.51528	0
279	1.4869811	0	11.749861	175.49778	9.888192	295.43175	0.00024129516
280	0.0053962683	0	9.0802652	176.36576	9.1631716	274.45576	0
281	-0.65993462	0	7.7365017	172.43516	8.5467511	253.80725	0
282	-0.76494826	0	9.4280062	171.37749	9.6674988	257.74432	0
283	-0.38746179	0	11.326478	165.56477	10.143827	271.28948	0
284	1.3997903	0	11.258509	96.660944	10.845026	320.59932	0.0003036476
285	0.22874843	0	7.6137168	157.95818	8.165027	256.93777	5.5135472e-05
286	0.44025109	0	7.0801	165.6384	8.0902645	249.18252	0
287	0.019576093	0	9.3406206	146.91917	10.138315	285.00126	0
288	-0.34194995	0	9.5741483	156.8141	10.456488	276.40578	0
289	-0.38207796	0	10.480754	156.74249	10.464448	284.48291	0
290	-0.69106809	0	10.283682	90.901961	10.730208	313.96429	0.00011619942
291	-0.97435768	0	9.2528647	66.130118	10.629371	312.8398	0.00025588306
292	-1.0126568	0	9.2339274	70.754095	10.788603	318.66662	0.00029787989
293	-0.75009344	0	7.2456781	59.31956	9.7185269	314.93684	0.00027313422
294	-0.45742565	0	6.6696957	80.307092	9.0869022	297.52826	0.00029463169
295	-0.09148601	0	6.4171961	150.17322	8.1188552	247.04454	0
296	-0.25710683	0	8.2877648	102.61872	9.6234922	329.7002	0.00032049906
297	-0.83958796	0	8.7261047	58.08361	10.567238	337.14934	0.0003599882
298	0.61646176	0	9.3747006	138.5458	10.48745	302.96234	4.0343146e-05
299	1.7319258	0	8.695064	37.517952	10.411573	324.12529	0.00039447078
300	-0.044780204	0	7.8047161	64.639947	10.035325	332.89462	0.00023603107
301	1.1069376	0	8.7513312	53.659388	10.397555	337.99296	0.00061951902
302	-1.0629566	0	4.5365048	116.59756	7.897259	273.44984	9.8745974e-05
303	-1.0335429	0	2.6824331	97.971244	6.9978823	304.33201	0.00014978492
304	-1.3175742	0	0.20414701	81.817401	5.6251233	268.04739	0
305	-0.75381945	0	-0.98141543	134.75959	4.9569851	215.37414	0
306	-0.1783805	0	0.8457477	137.52784	4.8133986	206.94274	0
307	-0.44960881	0	1.6671102	136.04489	4.7131209	207.23319	0
308	-0.96134766	0	1.1780019	133.20507	5.3655823	211.0867	0
309	-0.82986627	0	0.95032782	130.48019	5.3426578	208.59876	0
310	-0.38741381	0	1.0052534	128.88067	4.6863441	210.98031	0
311	-0.43636076	0	1.9564216	130.48672	4.9107454	216.08284	0
312	0.019311853	0	4.2684346	120.16704	6.4435665	259.40489	4.4604979e-05
313	-1.6747741	0	3.5559814	75.118364	7.2800813	305.80079	0.00045357299
314	-1.887492	0	0.33466849	74.193849	5.7692145	309.89053	0.00050688991
315	-1.2212542	0	-1.6163022	90.359079	5.0399239	274.13651	9.3804442e-05
316	-0.81114354	0	-4.1394994	107.91279	4.0800922	216.19836	0
317	-0.53988512	0	-5.2451445	118.73198	3.6581226	195.9219	0
318	-0.040923544	0	-3.8234298	117.50607	3.6339758	199.13419	0
319	-0.4006876	0	-2.4446481	116.8128	3.6902015	206.1536	0
320	-0.37653121	0	-2.7019638	112.44027	4.1896354	204.85027	0
321	-0.55766729	0	-1.487315	109.61069	4.165234	225.33284	0
