Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       34   34.0000       2.05183       2.43295       3.00075      0.115400      0.410033E-02   0.00000      -163.372      -26.6171      -32.6842       169.132       0.00000      -321.976       6.23489      0.513402       5.00000       4.00000     -0.218237       0.00000       0.00000       0.00000       0.00000    
       35   35.0000       2.09746       2.43724       2.98490      0.963103E-01  0.342175E-02   0.00000      -112.475      -13.1898      -22.5028       151.977       0.00000      -322.190       7.32981      0.514568       5.00000       4.00000     -0.221698       0.00000       0.00000       0.00000       0.00000    
       36   36.0000       2.15333       2.46577       2.98186      0.506432E-01  0.179908E-02   0.00000      -104.739      -5.96198      -11.3614       164.508       0.00000      -322.451       7.68866      0.515477       5.00000       4.00000     -0.222361       0.00000       0.00000       0.00000       0.00000    
       37   37.0000       2.19552       2.50885       2.98186      0.100628      0.357448E-02   0.00000      -144.711      -15.8585      -25.0135       174.651       0.00000      -322.649       6.48949      0.515208       5.00000       4.00000     -0.222361       0.00000       0.00000       0.00000       0.00000    
       38   38.0000       2.25367       2.53051       2.97055      0.115465      0.410107E-02   0.00000      -78.3588      -2.74229      -19.4954       165.961       0.00000      -322.922       7.21527      0.516220       5.00000       4.00000     -0.224832       0.00000       0.00000       0.00000       0.00000    
       39   39.0000       2.36975       2.59359       2.98090       0.00000      0.750052E-04  0.250774E-02  -23.2370      0.205567E-01 -0.330437E-01   131.398       0.00000      -323.466       8.37815      0.517699       5.00000       4.00000     -0.222571       0.00000       0.00000       0.00000       0.00000    
       40   40.0000       2.58398       2.67143       3.03373      0.803478E-01  0.285197E-02  0.299746E-02  -86.2999     -0.611509      -9.82056       167.230       0.00000      -324.474       17.8967      0.518365       5.00000       4.00000     -0.211034       0.00000       0.00000       0.00000       0.00000    
       41   41.0000       2.67706       2.72971       3.05688      0.447572E-01  0.158839E-02  0.357248E-02  -62.7951      -4.51238      -7.25384       145.339       0.00000      -324.912       21.0254      0.521401       5.00000       4.00000     -0.205977       0.00000       0.00000       0.00000       0.00000    
       42   42.0000       2.76114       2.78914       3.07664      0.113413E-01  0.402426E-03  0.456641E-02  -29.7682      -3.39233      -6.14809       150.868       0.00000      -325.308       23.8397      0.529467       5.00000       4.00000     -0.201662       0.00000       0.00000       0.00000       0.00000    
       43   43.0000       2.87193       2.87627       3.09842      0.472912E-01  0.167769E-02  0.271686E-02  -40.3856      -8.07529      -8.10709       72.2806       0.00000      -325.831       27.6603      0.559055       5.00000       4.00000     -0.196904       0.00000       0.00000       0.00000       0.00000    
