Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       31   31.0000       2.86887       2.92618       3.00731      0.111814      0.396672E-02   0.00000      -150.622      -21.2567      -26.3678       197.521       0.00000      -325.817       5.58968      0.514401       5.00000       4.00000     -0.216804       0.00000       0.00000       0.00000       0.00000    
       32   32.0000       2.94298       2.96002       2.98716      0.731479E-01  0.259463E-02   0.00000      -73.7680      -12.6194      -14.9173       178.003       0.00000      -326.167       7.26920      0.516862       5.00000       4.00000     -0.221204       0.00000       0.00000       0.00000       0.00000    
       33   33.0000       3.03504       3.03504       3.03504      0.763452E-01  0.270757E-02   0.00000      -174.763      -27.9961      -26.5440       207.052       0.00000      -326.602       28.6400      0.500000       5.00000       4.00000     -0.210747       0.00000       0.00000       0.00000       0.00000    
       34   34.0000       3.05838       3.05838       3.05838      0.110825      0.393021E-02   0.00000      -175.666      -30.9573      -35.9014       211.349       0.00000      -326.712       28.6400      0.500000       5.00000       4.00000     -0.205650       0.00000       0.00000       0.00000       0.00000    
       35   35.0000       3.08415       3.08415       3.08415      0.926582E-01  0.328579E-02  0.303507E-02  -123.772      -17.0602      -25.2842       189.912       0.00000      -326.834       28.6400      0.500000       5.00000       4.00000     -0.200022       0.00000       0.00000       0.00000       0.00000    
       36   36.0000       3.13179       3.13179       3.13179      0.495099E-01  0.175553E-02  0.355851E-02  -116.461      -9.41974      -15.0171       205.570       0.00000      -327.060       28.6400      0.500000       5.00000       4.00000     -0.189616       0.00000       0.00000       0.00000       0.00000    
       37   37.0000       3.19593       3.19593       3.19593      0.967688E-01  0.343083E-02  0.251279E-02  -156.390      -19.8911      -27.9453       218.246       0.00000      -327.364       28.6400      0.500000       5.00000       4.00000     -0.175609       0.00000       0.00000       0.00000       0.00000    
       38   38.0000       3.24048       3.24048       3.24048      0.111198      0.394205E-02  0.392308E-02  -92.0916      -8.01544      -23.3018       207.387       0.00000      -327.575       28.6400      0.500000       5.00000       4.00000     -0.165880       0.00000       0.00000       0.00000       0.00000    
       39   39.0000       3.32340       3.32340       3.32340      0.890024E-01  0.315471E-02  0.406850E-02  -38.5722       2.20887      -13.0548       164.196       0.00000      -327.968       28.6400      0.500000       5.00000       4.00000     -0.147768       0.00000       0.00000       0.00000       0.00000    
       40   40.0000       3.41374       3.41374       3.41374      0.777224E-01  0.275441E-02  0.355368E-02  -95.5267      -3.63243      -12.1031       208.972       0.00000      -328.397       28.6400      0.500000      0.367129       3.39792      0.470383E-01   0.00000       0.00000       0.00000       0.00000    
       41   41.0000       3.49518       3.49518       3.49518      0.437811E-01  0.155132E-02  0.339773E-02  -72.1303      -7.21496      -10.0144       181.617       0.00000      -328.784       28.6400      0.500000      0.200873       3.36551      0.704914       0.00000       0.00000       0.00000       0.00000    
       42   42.0000       3.57331       3.57331       3.57331      0.113332E-01  0.401517E-03  0.369250E-02  -38.8291      -5.92559      -8.82855       188.526       0.00000      -329.156       28.6400      0.500000      0.418490       3.40867      0.429613       0.00000       0.00000       0.00000       0.00000    
       43   43.0000       3.68052       3.68052       3.68052      0.461801E-01  0.163575E-02  0.194729E-02  -49.9807      -11.0857      -10.8570       90.3226       0.00000      -329.666       28.6400      0.500000      0.363890       3.39810      0.847521       0.00000       0.00000       0.00000       0.00000    
       44   44.0000       3.70889       3.70889       3.70889      0.391985E-01  0.138837E-02   0.00000      -95.6985      -20.1765      -18.0077       78.4810       0.00000      -329.801       28.6400      0.500000      0.516914       3.42790      0.593594       0.00000       0.00000       0.00000       0.00000    
       45   45.0000       3.69498       3.69609       3.70889      0.130791      0.463262E-02   0.00000      -202.896      -46.0313      -44.8466       205.941       0.00000      -329.735       24.0851      0.500000      0.593859       3.44263      0.489599       0.00000       0.00000       0.00000       0.00000    
       46   46.0000       3.69669       3.69792       3.70889      0.118221      0.418737E-02  0.810227E-03  -170.149      -27.7833      -33.6674       229.473       0.00000      -329.743       22.8878      0.500000      0.656465       3.45451      0.423146       0.00000       0.00000       0.00000       0.00000    
       47   47.0000       3.74022       3.74022       3.74022      0.114475      0.405435E-02  0.223188E-02  -150.409      -18.3054      -31.8848       240.329       0.00000      -329.950       28.6400      0.500000      0.668770       3.45683      0.462735       0.00000       0.00000       0.00000       0.00000    
       48   48.0000       3.80447       3.80447       3.80447      0.110394      0.390935E-02  0.212581E-02  -134.584      -11.9766      -24.9646       230.018       0.00000      -330.257       28.6400      0.500000      0.643066       3.45199      0.598542       0.00000       0.00000       0.00000       0.00000    
       49   49.0000       3.87258       3.87258       3.87258      0.105121      0.372214E-02  0.208451E-02  -109.291      -5.40690      -21.6498       231.885       0.00000      -330.582       28.6400      0.500000      0.632594       3.45002      0.729436       0.00000       0.00000       0.00000       0.00000    
       50   50.0000       3.96010       3.96010       3.96010      0.156332      0.553450E-02  0.125297E-02  -77.9250      0.565745      -25.5832       209.099       0.00000      -331.000       28.6400      0.500000      0.617906       3.44724      0.906359       0.00000       0.00000       0.00000       0.00000    
       51   51.0000       4.05366       4.05366       4.05366      0.184115      0.651689E-02   0.00000      -59.0653       13.6812      -25.1963       195.442       0.00000      -331.447       28.6400      0.500000      0.616158       3.44691       1.07533       0.00000       0.00000       0.00000       0.00000    
       52   52.0000       4.15117       4.15084       4.05366       0.00000      0.764172E-04   0.00000      -64.3050      0.233303E-01 -0.409708E-01   233.909       0.00000      -331.914       28.4449      0.500000      0.695802       3.46198      0.928591       0.00000       0.00000       0.00000       0.00000    
