Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       71   71.0000       2.15046       2.15046       2.15046      0.777443E-01  0.276185E-02  0.441917E-02  -80.4268      -9.56333      -16.1261       153.823       0.00000      -322.438       28.6400      0.500000       5.00000       4.00000     -0.403939       0.00000       0.00000       0.00000       0.00000    
       72   72.0000       2.20347       2.20347       2.20347      0.179712E-01  0.638357E-03  0.498797E-02  -46.3907      -6.15063      -7.52510       136.964       0.00000      -322.686       28.6400      0.500000       5.00000       4.00000     -0.392363       0.00000       0.00000       0.00000       0.00000    
       73   73.0000       2.26880       2.26880       2.26880      0.874025E-01  0.310426E-02  0.373771E-02  -115.204      -7.25623      -17.9000       178.425       0.00000      -322.993       28.6400      0.500000       5.00000       4.00000     -0.378094       0.00000       0.00000       0.00000       0.00000    
       74   74.0000       2.31448       2.31448       2.31448      0.114277      0.405838E-02  0.342011E-02  -126.424      -5.71805      -25.2638       185.094       0.00000      -323.207       28.6400      0.500000       5.00000       4.00000     -0.368118       0.00000       0.00000       0.00000       0.00000    
       75   75.0000       2.35688       2.35688       2.35688      0.100587      0.357193E-02  0.390283E-02  -117.888      -2.88449      -21.4843       188.691       0.00000      -323.406       28.6400      0.500000       5.00000       4.00000     -0.358858       0.00000       0.00000       0.00000       0.00000    
       76   76.0000       2.40798       2.40798       2.40798      0.953237E-01  0.338469E-02  0.541427E-02  -45.0850       1.32495      -14.4672       170.519       0.00000      -323.646       28.6400      0.500000       5.00000       4.00000     -0.347697       0.00000       0.00000       0.00000       0.00000    
       77   77.0000       2.49832       2.49832       2.49832      0.463284E-01  0.164472E-02  0.409763E-02  -69.2214      -1.34992      -5.07391       138.992       0.00000      -324.071       28.6400      0.500000       5.00000       4.00000     -0.327966       0.00000       0.00000       0.00000       0.00000    
       78   78.0000       2.54867       2.54867       2.54867      0.593818E-01  0.210792E-02  0.418365E-02  -93.5967      -1.87573      -9.30699       174.785       0.00000      -324.307       28.6400      0.500000       5.00000       4.00000     -0.316971       0.00000       0.00000       0.00000       0.00000    
       79   79.0000       2.60721       2.60721       2.60721      0.574813E-01  0.204023E-02  0.438516E-02  -59.8162      0.632825      -6.55378       144.200       0.00000      -324.583       28.6400      0.500000       5.00000       4.00000     -0.304186       0.00000       0.00000       0.00000       0.00000    
       80   80.0000       2.66803       2.66803       2.66803      0.415917E-01  0.147608E-02  0.495798E-02  -64.2894      0.484586      -6.97990       185.383       0.00000      -324.869       28.6400      0.500000       5.00000       4.00000     -0.290902       0.00000       0.00000       0.00000       0.00000    
       81   81.0000       2.75521       2.75521       2.75521      0.131164E-01  0.465420E-03  0.442845E-02  -32.8213      -4.34413      -5.92460       121.204       0.00000      -325.280       28.6400      0.500000       5.00000       4.00000     -0.271861       0.00000       0.00000       0.00000       0.00000    
       82   82.0000       2.81889       2.81889       2.81889      0.324739E-01  0.115216E-02  0.535988E-02  -24.2237      -1.22120      -5.10739       180.261       0.00000      -325.581       28.6400      0.500000       5.00000       4.00000     -0.257955       0.00000       0.00000       0.00000       0.00000    
       83   83.0000       2.93115       2.93115       2.93115      0.359159E-01  0.127400E-02  0.188730E-02  -39.9547      -9.42667      -8.42838       57.1598       0.00000      -326.111       28.6400      0.500000       5.00000       4.00000     -0.233438       0.00000       0.00000       0.00000       0.00000    
       84   84.0000       2.94367       2.94367       2.94367      0.298522E-01  0.105889E-02  0.405143E-02  -47.5113      -9.11126      -9.68537       131.932       0.00000      -326.170       28.6400      0.500000       5.00000       4.00000     -0.230703       0.00000       0.00000       0.00000       0.00000    
       85   85.0000       3.00447       3.00447       3.00447      0.578043E-01  0.205014E-02   0.00000      -59.8466      -16.7972      -13.4520       70.9699       0.00000      -326.457       28.6400      0.500000       5.00000       4.00000     -0.217424       0.00000       0.00000       0.00000       0.00000    
       86   86.0000       3.01261       3.01261       3.01261      0.912321E-01  0.323566E-02  0.222826E-02  -133.787      -23.1862      -23.5569       180.058       0.00000      -326.496       28.6400      0.500000       5.00000       4.00000     -0.215646       0.00000       0.00000       0.00000       0.00000    
       87   87.0000       3.04600       3.04600       3.04600      0.881696E-01  0.312685E-02  0.402455E-02  -100.774      -9.03539      -16.5342       204.826       0.00000      -326.654       28.6400      0.500000       5.00000       4.00000     -0.208354       0.00000       0.00000       0.00000       0.00000    
       88   88.0000       3.12088       3.12088       3.12088      0.240342E-01  0.852228E-03  0.396415E-02  -65.8587      -1.42408      -4.05191       164.285       0.00000      -327.008       28.6400      0.500000       5.00000       4.00000     -0.192000       0.00000       0.00000       0.00000       0.00000    
       89   89.0000       3.19171       3.19171       3.19171      0.518759E-01  0.183922E-02  0.374942E-02  -96.7304      -1.71905      -7.48167       196.465       0.00000      -327.344       28.6400      0.500000       5.00000       4.00000     -0.176531       0.00000       0.00000       0.00000       0.00000    
       90   90.0000       3.26346       3.26346       3.26346       0.00000      0.334765E-04  0.377426E-02  -78.3871      0.437811E-02 -0.344426E-01   182.790       0.00000      -327.684       28.6400      0.500000       5.00000       4.00000     -0.160859       0.00000       0.00000       0.00000       0.00000    
       91   91.0000       3.33856       3.33856       3.33856       0.00000      0.775378E-04  0.418077E-02  -34.9000      0.185415E-01 -0.287614E-01   172.455       0.00000      -328.040       28.6400      0.500000       5.00000       4.00000     -0.144458       0.00000       0.00000       0.00000       0.00000    
       92   92.0000       3.43746       3.43746       3.43746       0.00000      0.957127E-04  0.427632E-02  -22.3932      0.505314E-01 -0.746779E-02   191.009       0.00000      -328.510       28.6400      0.500000      0.367129       3.41141      0.774868E-01   0.00000       0.00000       0.00000       0.00000    
       93   93.0000       3.55852       3.55852       3.55852       0.00000      0.978460E-04  0.370528E-02  -40.3897      0.618069E-01 -0.616469E-02   186.968       0.00000      -329.085       28.6400      0.500000      0.131334       3.36648       1.59673       0.00000       0.00000       0.00000       0.00000    
       94   94.0000       3.66265       3.66265       3.66265      0.821669E-01  0.291053E-02  0.216506E-02  -44.8001     -0.207180      -7.98441       92.1338       0.00000      -329.581       28.6400      0.500000      0.389914       3.41695      0.688105       0.00000       0.00000       0.00000       0.00000    
       95   95.0000       3.69615       3.69615       3.69615      0.698286E-01  0.247333E-02  0.283014E-02  -101.732     -0.438522E-01  -12.3028       217.409       0.00000      -329.740       28.6400      0.500000      0.465250       3.43124      0.621770       0.00000       0.00000       0.00000       0.00000    
       96   96.0000       3.77878       3.77878       3.77878       0.00000      0.604261E-04  0.310143E-02  -24.7004      0.219226E-01 -0.460193E-01   198.544       0.00000      -330.134       28.6400      0.500000      0.466434       3.43146      0.813130       0.00000       0.00000       0.00000       0.00000    
       97   97.0000       3.90306       3.90306       3.90306       0.00000      0.561754E-04  0.201022E-02  -50.6290      0.220514E-01 -0.227333E-01   182.649       0.00000      -330.727       28.6400      0.500000      0.452581       3.42886       1.14417       0.00000       0.00000       0.00000       0.00000    
       98   98.0000       3.99706       3.99706       3.99706       0.00000      0.737158E-04   0.00000      -43.6264      0.233986E-01 -0.142182E-01   175.430       0.00000      -331.176       28.6400      0.500000      0.496892       3.43721       1.23037       0.00000       0.00000       0.00000       0.00000    
       99   99.0000       4.09129       4.09084       3.99706      0.103619      0.366742E-02   0.00000      -74.5306       2.56194      -11.4954       180.857       0.00000      -331.627       28.3664      0.500000      0.599299       3.45640      0.985144       0.00000       0.00000       0.00000       0.00000    
      100   100.000       4.17941       4.16650       3.99706      0.944352E-01  0.334180E-02   0.00000      -124.488      -9.23976      -27.3498       204.094       0.00000      -332.049       24.5846      0.500000      0.679656       3.47129      0.844745       0.00000       0.00000       0.00000       0.00000    
      101   101.000       4.24904       4.22307       3.99706      0.789217E-01  0.279245E-02   0.00000      -117.650      -5.69018      -19.0658       212.623       0.00000      -332.382       22.7348      0.500000      0.747620       3.48377      0.749730       0.00000       0.00000       0.00000       0.00000    
      102   102.000       4.33682       4.29074       3.99706      0.720054E-01  0.254730E-02   0.00000      -45.7011      -1.71520      -7.34178       170.356       0.00000      -332.803       20.8714      0.500000      0.807259       3.49463      0.679650       0.00000       0.00000       0.00000       0.00000    
      103   103.000       4.46399       4.37978       3.99706      0.422911E-01  0.149575E-02   0.00000      -50.1561      -3.00667      -5.31609       156.557       0.00000      -333.414       18.3102      0.500000      0.860649       3.50428      0.625240       0.00000       0.00000       0.00000       0.00000    
      104   104.000       4.58231       4.45575       3.99706      0.566268E-01  0.200232E-02   0.00000      -84.0631      -9.74202      -11.6698       178.679       0.00000      -333.983       16.2530      0.500000      0.909297       3.51302      0.581295       0.00000       0.00000       0.00000       0.00000    
      105   105.000       4.68417       4.52329       3.99706      0.465078E-01  0.164420E-02   0.00000      -84.0805      -16.9818      -17.1911       139.660       0.00000      -334.473       15.2286      0.500000      0.954257       3.52105      0.544720       0.00000       0.00000       0.00000       0.00000    
      106   106.000       4.73765       4.56281       3.99706      0.607941E-01  0.214904E-02   0.00000      -105.691      -10.2189      -17.3580       224.761       0.00000      -334.730       15.1178      0.500000      0.995978       3.52846      0.513779       0.00000       0.00000       0.00000       0.00000    
      107   107.000       4.86699       4.64796       3.99706      0.952808E-01  0.336729E-02   0.00000      -80.3554      -4.43144      -21.6030       202.139       0.00000      -335.354       14.2182      0.500000       1.03537       3.53542      0.486891       0.00000       0.00000       0.00000       0.00000    
      108   108.000       5.00587       4.73508       3.99706      0.107070      0.378294E-02   0.00000      -94.6709       3.50525      -23.0085       218.995       0.00000      -336.025       13.2649      0.500000       1.07244       3.54193      0.463430       0.00000       0.00000       0.00000       0.00000    
      109   109.000       5.14095       4.82404       3.99706      0.479008E-01  0.169196E-02   0.00000      -88.4763      -5.99259      -13.6661       199.206       0.00000      -336.678       12.7711      0.500000       1.10760       3.54808      0.442651       0.00000       0.00000       0.00000       0.00000    
